Commodity,State,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun
Leeks,Victoria,Medium,High,High,High,Medium,Medium,Low,Low,Medium,Medium,Medium,Medium
Leeks,Queensland,High,Medium,Medium,Medium,Medium,Low,Low,Low,Low,Medium,Medium,Medium
Leeks,Western Australia,High,High,Medium,Medium,Low,Low,Low,Low,Low,Low,Medium,Medium
Leeks,South Australia,High,Medium,Medium,Low,Low,Low,Low,Low,Low,Low,Medium,High
Leeks,Tasmania,Medium,Medium,Medium,Medium,Low,Low,Low,Low,Low,Low,Low,Low
Mushrooms,New South Wales,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium
Mushrooms,Victoria,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium
Mushrooms,Queensland,Medium,Medium,Medium,Medium,Medium,Low,Low,Low,Medium,Medium,Medium,Medium
Mushrooms,Western Australia,Medium,Medium,Medium,Medium,Low,Low,Low,Low,Low,Low,Low,Medium
Mushrooms,South Australia,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium
Mushrooms,Tasmania,Medium,Medium,Medium,Low,Low,Low,Low,Low,Medium,Medium,Medium,Medium
Onions,New South Wales,Medium,Medium,Medium,Medium,High,High,High,High,High,High,Medium,Medium
Onions,Victoria,Low,Low,Medium,Medium,Medium,Medium,High,High,High,Medium,Medium,Medium
Onions,Queensland,Low,Medium,Medium,Medium,Medium,Medium,Medium,High,High,High,Medium,Low
Onions,Western Australia,Low,Low,Low,Medium,Medium,Medium,High,High,Medium,Medium,Medium,Low
Onions,South Australia,Low,Low,Medium,Medium,High,High,High,High,Medium,Medium,Low,Low
Onions,Tasmania,Low,Low,Low,Low,Medium,Medium,Medium,High,High,Medium,Medium,Low
Onions,Imported,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Parsnips,New South Wales,High,Medium,Medium,Medium,Low,Low,Low,Low,Low,Medium,Medium,High
Parsnips,Victoria,High,High,Medium,Medium,Medium,Low,Low,Low,Medium,Medium,High,High
Parsnips,Queensland,High,Medium,Medium,Low,Low,Low,Low,Low,Low,Medium,Medium,High
Parsnips,Western Australia,Medium,Medium,Medium,Medium,Low,Low,Low,Low,Medium,Medium,Medium,High
Parsnips,South Australia,Medium,Medium,Medium,Low,Low,Low,Low,Low,Low,Medium,Medium,Medium
Parsnips,Tasmania,Medium,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Medium
Peas,New South Wales,Low,Medium,High,Medium,Medium,Low,Low,None,Low,Low,None,None
Peas,Victoria,Low,Medium,High,High,Medium,Medium,Low,None,None,Low,Low,None
Peas,Queensland,Low,High,High,Medium,Medium,Low,Low,None,Low,Low,None,None
Peas,Western Australia,Low,Medium,Medium,Medium,Medium,Low,Low,None,Low,Low,None,None
Peas,South Australia,Low,Low,Medium,Medium,Medium,Low,Low,None,Low,Low,None,None
Peas,Tasmania,Medium,Medium,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium
Potatoes,New South Wales,High,Medium,Medium,Medium,Medium,Low,Medium,Medium,High,High,High,High
Potatoes,Victoria,High,High,High,High,High,Medium,Medium,Medium,High,High,High,High
Potatoes,Queensland,High,Medium,Medium,Medium,Medium,Low,Low,Low,Medium,High,High,High
Potatoes,Western Australia,High,High,Medium,Medium,Medium,Low,Medium,Medium,High,High,High,High
Potatoes,South Australia,High,High,High,High,High,Medium,High,High,High,High,High,High
Potatoes,Tasmania,High,High,High,High,Medium,Medium,Medium,High,High,High,High,High
Pumpkins,New South Wales,High,Medium,Medium,Medium,None,None,Low,Low,Medium,Medium,Medium,High
Pumpkins,Victoria,Medium,Medium,Low,Low,None,None,Low,Low,Low,Low,Low,Medium
Pumpkins,Queensland,Medium,Medium,Low,Low,Low,Low,Low,Low,Medium,High,High,High
Pumpkins,Western Australia,Medium,Low,Low,Low,None,None,Medium,High,High,High,Medium,Low
Pumpkins,South Australia,Medium,Medium,Low,Low,None,None,Low,Low,Low,Low,Medium,Medium
Pumpkins,Tasmania,Medium,Medium,Low,Low,None,None,Low,Low,Low,Low,Low,Medium
Pumpkins,Northern Territory,Medium,Low,Low,Low,None,None,Low,Medium,Medium,High,High,Medium
Sweet corn,New South Wales,Low,Low,Low,Medium,Medium,High,High,Medium,Medium,Medium,Medium,Low
Sweet corn,Victoria,Low,Low,Low,Low,Medium,Medium,High,High,Medium,Medium,Low,Low
Sweet corn,Queensland,Low,Low,Medium,Medium,Medium,High,High,High,Medium,Medium,Medium,Low
Sweet corn,Western Australia,Low,Low,Low,Low,Medium,Medium,High,High,Medium,Low,Low,Low
Sweet corn,South Australia,Low,Low,Low,Low,Low,Medium,Medium,Medium,Medium,Medium,Low,Low
Sweet corn,Tasmania,Low,Low,Low,Low,Low,Medium,Medium,Medium,Medium,Low,Low,Low
Sweet potatoes,New South Wales,None,None,None,None,None,None,Low,Medium,High,Medium,Medium,Low
Sweet potatoes,Victoria,None,None,None,None,None,Low,Low,Medium,High,Medium,Low,Low
Sweet potatoes,Queensland,Medium,Medium,Medium,Low,Medium,Medium,Medium,High,High,High,High,High
Sweet potatoes,Western Australia,None,None,None,Low,Low,Low,Medium,Medium,High,Medium,Low,Low
Sweet potatoes,South Australia,None,None,None,None,None,Low,Low,Medium,Medium,Low,Low,Low
Tomatoes,New South Wales,High,High,High,Medium,Medium,Medium,Medium,Medium,Medium,High,High,High
Tomatoes,Victoria,High,High,High,High,Medium,Medium,Medium,Medium,High,High,High,High
Tomatoes,Queensland,High,High,High,High,High,High,Medium,Medium,Medium,High,High,High
Tomatoes,Western Australia,High,High,High,High,Medium,Medium,Medium,Medium,Medium,Medium,High,High
Tomatoes,South Australia,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,High
Tomatoes,Tasmania,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Tomatoes,Imported,None,None,None,None,Low,High,Medium,Medium,Low,None,None,None
Zucchini,New South Wales,High,High,High,Medium,Medium,Low,Low,Low,Low,Medium,Medium,High
Zucchini,Victoria,High,High,High,Medium,Medium,Medium,Low,Low,Low,Low,Medium,High
Zucchini,Queensland,High,High,High,High,Medium,Medium,Low,Low,Medium,Medium,High,High
Zucchini,Western Australia,High,Medium,Medium,Low,Low,Low,Low,Low,Low,Medium,Medium,Medium
Zucchini,South Australia,High,Medium,Low,Low,None,None,None,Low,Low,Low,Medium,High
Zucchini,Tasmania,Low,Low,Low,None,None,None,None,None,None,None,Low,Low
Zucchini,Northern Territory,Low,Low,None,None,None,None,None,None,None,None,Low,Low
